substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
102,845,0,980.4096767,817,2,0.00363,0.06444,2
102,845,0,980.4096767,817,3,0.00363,0.242956667,2
102,845,0,1013.160316,443,1,0.0064,0.872433333,2
102,845,0,1013.160316,443,2,0.0064,1.143966667,2
102,845,0,1013.160316,443,3,0.0064,0.384,2
102,845,0,1029.508609,514,1,0.00531,1.166533333,2
102,845,0,1029.508609,514,2,0.00531,0.457533333,2
102,845,0,1029.508609,514,3,0.00531,0.070346667,2
102,845,0,1045.802216,689,1,0.00414,1.500933333,2
102,845,0,1045.802216,689,2,0.00414,0.372833333,2
102,845,0,1045.802216,689,3,0.00414,0.14781,2
102,845,0,1062.145376,781,1,0.003773438,1.0727,2
102,845,0,1062.145376,781,2,0.003773438,0.094813333,2
102,845,0,1062.145376,781,3,0.003773438,0.217093333,2
102,845,0,1078.454299,817,1,0.00363,0.833133333,2
102,845,0,1078.454299,817,2,0.00363,0.060933333,2
102,845,0,1078.454299,817,3,0.00363,0.220076667,2
102,845,0,1111.196979,443,1,0.0064,0.845466667,2
102,845,0,1111.196979,443,2,0.0064,1.1627,2
102,845,0,1111.196979,443,3,0.0064,0.384,2
102,845,0,1127.515494,514,1,0.00532,1.126766667,2
102,845,0,1127.515494,514,2,0.00532,0.441466667,2
102,845,0,1127.515494,514,3,0.00532,0.06939,2
102,845,0,1143.804129,689,1,0.00415,1.4986,2
102,845,0,1143.804129,689,2,0.00415,0.381033333,2
102,845,0,1143.804129,689,3,0.00415,0.14782,2
102,845,0,1160.144296,781,1,0.003781897,1.071366667,2
102,845,0,1160.144296,781,2,0.003781897,0.097886667,2
102,845,0,1160.144296,781,3,0.003781897,0.215016667,2
102,845,0,1176.507675,817,1,0.003637857,0.837833333,2
102,845,0,1176.507675,817,2,0.003637857,0.063736667,2
102,845,0,1176.507675,817,3,0.003637857,0.227453333,2
102,845,0,1209.109317,443,1,0.00641,0.820566667,2
102,845,0,1209.109317,443,2,0.00641,1.1827,2
102,845,0,1209.109317,443,3,0.00641,0.384,2
102,845,0,1225.433807,514,1,0.005320741,1.115333333,2
102,845,0,1225.433807,514,2,0.005320741,0.457166667,2
102,845,0,1225.433807,514,3,0.005320741,0.069683333,2
102,845,0,1241.815155,689,1,0.00416,1.462,2
102,845,0,1241.815155,689,2,0.00416,0.3834,2
102,845,0,1241.815155,689,3,0.00416,0.14539,2
102,845,0,1258.110555,781,1,0.00378625,1.0759,2
102,845,0,1258.110555,781,2,0.00378625,0.103953333,2
102,845,0,1258.110555,781,3,0.00378625,0.216723333,2
102,845,0,1274.433044,817,1,0.00364,0.835666667,2
102,845,0,1274.433044,817,2,0.00364,0.06608,2
102,845,0,1274.433044,817,3,0.00364,0.24231,2
102,845,0,1307.154542,443,1,0.00642,0.800633333,2
102,845,0,1307.154542,443,2,0.00642,1.2073,2
102,845,0,1307.154542,443,3,0.00642,0.384,2
102,845,0,1323.495115,514,1,0.00533,1.085066667,2
102,845,0,1323.495115,514,2,0.00533,0.4619,2
102,845,0,1323.495115,514,3,0.00533,0.069453333,2
102,845,0,1339.809232,689,1,0.00416,1.437166667,2
102,845,0,1339.809232,689,2,0.00416,0.400766667,2
102,845,0,1339.809232,689,3,0.00416,0.14653,2
102,845,0,1356.136442,781,1,0.00378856,1.039366667,2
102,845,0,1356.136442,781,2,0.00378856,0.10509,2
102,845,0,1356.136442,781,3,0.00378856,0.2108,2
102,845,0,1372.539703,817,1,0.003643214,0.758933333,2
102,845,0,1372.539703,817,2,0.003643214,0.065533333,2
102,845,0,1372.539703,817,3,0.003643214,0.222116667,2
102,845,0,1405.251889,443,1,0.00643,0.7793,2
102,845,0,1405.251889,443,2,0.00643,1.228133333,2
102,845,0,1405.251889,443,3,0.00643,0.384,2
102,845,0,1421.521058,514,1,0.00534,1.058933333,2
102,845,0,1421.521058,514,2,0.00534,0.461266667,2
102,845,0,1421.521058,514,3,0.00534,0.069066667,2
102,845,0,1437.914956,689,1,0.00417,1.415966667,2
102,845,0,1437.914956,689,2,0.00417,0.409166667,2
102,845,0,1437.914956,689,3,0.00417,0.14578,2
102,845,0,1454.252655,781,1,0.00379625,1.006633333,2
102,845,0,1454.252655,781,2,0.00379625,0.11065,2
102,845,0,1454.252655,781,3,0.00379625,0.21424,2
102,845,0,1470.568401,817,1,0.00365,0.7947,2
102,845,0,1470.568401,817,2,0.00365,0.073126667,2
102,845,0,1470.568401,817,3,0.00365,0.25242,2
102,845,0,1503.410362,443,1,0.00643,0.757833333,2
102,845,0,1503.410362,443,2,0.00643,1.2502,2
102,845,0,1503.410362,443,3,0.00643,0.384,2
102,845,0,1519.775864,514,1,0.00534037,1.029133333,2
102,845,0,1519.775864,514,2,0.00534037,0.462666667,2
102,845,0,1519.775864,514,3,0.00534037,0.068536667,2
102,845,0,1536.105373,689,1,0.00417,1.4247,2
102,845,0,1536.105373,689,2,0.00417,0.417166667,2
