X,Y,Z
1.134140569896976103e+03,8.781692507787696513e+02,6.212566082693744551e-01
1.132270260588762540e+03,9.064915325691424641e+02,5.955388658558583570e-01
1.161187927594689654e+03,8.996397668063054880e+02,5.452201260141519290e-01
3.346727384425164928e+03,8.618786282513411834e+02,2.924930102260146492e-01
1.110737288200702824e+04,8.575557446243924460e+02,6.768614653815828719e-01
7.960422750212014762e+03,9.040464123366239164e+02,1.431377194759790861e+00
2.211879536769442439e+03,8.522343731224119665e+02,7.068623754849590046e-01
4.167057625958266726e+03,8.888431323431829014e+02,6.720664545829162506e-01
4.483975764944460025e+03,8.433579970124612828e+02,4.511790174663153352e-01
1.014275998523792623e+04,8.672223454541662022e+02,8.159537045347020623e-01
3.162285850321949056e+03,8.587698624289764666e+02,3.461420608242802288e-01
9.177813615806357120e+03,8.745193296513564292e+02,8.796236816243577783e-01
1.537756537029688616e+03,8.772734134518547080e+02,4.778401850013719865e-01
4.658101241871159800e+03,8.482280869514446522e+02,3.316189569039214025e-01
7.235997729050235648e+03,8.772573603825534292e+02,7.529848537277030740e-01
1.105457041581696103e+04,8.798805045920902330e+02,1.298992836054883471e+00
1.090420267927720306e+04,8.557951975454731155e+02,6.087971919994050740e-01
1.040845891162637417e+04,8.458268040736273861e+02,3.606269628378650505e-01
9.015529425712811644e+03,8.433292859979071636e+02,2.746727083569429628e-01
6.166373036842581314e+03,8.850162669598975071e+02,8.561840461434353511e-01
9.148805055425251339e+03,8.764487975113636367e+02,9.241317162066008395e-01
1.066313056175348356e+04,8.483120395558229347e+02,4.191049310774925818e-01
7.995631158527438856e+03,8.580891458317662455e+02,3.966703836964768359e-01
8.381861792448355118e+03,8.421627067917611384e+02,2.580769940796129314e-01
1.143076031427210182e+04,8.662316438934947200e+02,9.780806859446109502e-01
7.635857941564383509e+03,8.449035608199707212e+02,2.555069963342994077e-01
8.755235058392419887e+03,8.915332431177444050e+02,1.221017849288353219e+00
8.691146048637492640e+03,8.662819633489444868e+02,6.296147213204597026e-01
8.605075895943646174e+03,8.970055041688697202e+02,1.321024609320140097e+00
2.131561888756377812e+03,9.057846510537091262e+02,6.322389153396312800e-01
5.782383258162708444e+03,8.990484157688880487e+02,1.210965667526095579e+00
5.910609609712652855e+03,9.036599188820014206e+02,1.350377912536228964e+00
8.096431275237581758e+03,9.005992493518527908e+02,1.364817733499576802e+00
1.072618999058283225e+04,8.428679751304355250e+02,3.361162008249832800e-01
2.791938516172192976e+03,8.997287432483655039e+02,6.460091334930901930e-01
7.504159887660071035e+03,9.027880784959737639e+02,1.389935230197262062e+00
3.004472953094096283e+03,9.058003095547916246e+02,8.486849490652226269e-01
1.101761278654050147e+04,8.733250119387099630e+02,1.113506659648355823e+00
1.167180047060779725e+04,8.734399431402089249e+02,1.247776594090639124e+00
1.020853891536016636e+04,8.417793597453832035e+02,3.027953080405093034e-01
1.041701844843401886e+03,9.054138676530242265e+02,6.028519671356863396e-01
8.531103893148616407e+03,9.056765051046382951e+02,1.490774598673153095e+00
2.205229625207786285e+03,8.707909099386909020e+02,3.707715646572221635e-01
3.298852347534630553e+03,8.816217353976037430e+02,3.852444524421660410e-01
9.044698809048306430e+03,8.659510506631589806e+02,6.575485039938285814e-01
1.139977068514435632e+04,8.932885010538341248e+02,1.723820111329998239e+00
4.360206388093993155e+03,8.404687878711912390e+02,5.504458400032277154e-01
1.162121799553123128e+04,8.468888569380809486e+02,4.651841905613025019e-01
1.166395865724279793e+04,9.039080940311073391e+02,2.073029833048356085e+00
2.649534372612238258e+03,8.805818047188065520e+02,3.321715339423463309e-01
6.583466606248379321e+03,8.563676144800496104e+02,2.866823267387464402e-01
1.977016584897297435e+03,9.015003709729354568e+02,5.325757150756609271e-01
7.703849596004192790e+03,8.819032111596018240e+02,9.138743356332144074e-01
9.362048421611480080e+03,8.425729640415131598e+02,2.787300271351470515e-01
8.508307718709460460e+03,8.541846019906209904e+02,3.688431379359032869e-01
1.066985411429719170e+04,8.548752716392305047e+02,5.609663319872735254e-01
1.018749880472976770e+03,8.491158399790436988e+02,1.356527069078889980e+00
1.013356029849690458e+04,8.713630429834173583e+02,9.215844827913602932e-01
9.241900082142734391e+03,9.083615814943647138e+02,1.602326646110346475e+00
9.480783559743884325e+03,8.523781526778969919e+02,4.068662240504127281e-01
1.661311973515604450e+03,8.742670190676607263e+02,4.723026308696759434e-01
7.072660522373190361e+03,8.898385412077332148e+02,1.062354972170049594e+00
